,NAME,PRICE,RATING
0,"SAMSUNG Galaxy F41 (Fusion Blue, 128 GB)","₹14,499","4.33,31,342 Ratings & 36,667 Reviews"
1,"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)","₹23,999","4.238,801 Ratings & 5,153 Reviews"
2,SAMSUNG Guru 1200,"₹1,408","4.31,65,032 Ratings & 14,523 Reviews"
3,SAMSUNG Guru 1200,"₹1,310","4.31,65,032 Ratings & 14,523 Reviews"
4,"SAMSUNG M02s (Blue, 32 GB)","₹9,167",4.1503 Ratings & 30 Reviews
5,"SAMSUNG Galaxy F62 (Laser Grey, 128 GB)","₹23,999","4.238,801 Ratings & 5,153 Reviews"
6,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)","₹11,999","4.272,309 Ratings & 5,895 Reviews"
7,SAMSUNG Guru Music 2,"₹1,950","4.31,76,228 Ratings & 16,970 Reviews"
8,"SAMSUNG Galaxy F62 (Laser Green, 128 GB)","₹25,999","4.323,101 Ratings & 2,729 Reviews"
9,"SAMSUNG Galaxy F41 (Fusion Black, 128 GB)","₹14,499","4.33,31,342 Ratings & 36,667 Reviews"
10,"SAMSUNG Galaxy A31 (Prism Crush Blue, 128 GB)","₹16,999","4.311,539 Ratings & 1,014 Reviews"
11,"SAMSUNG Galaxy F41 (Fusion Green, 128 GB)","₹14,499","4.33,31,342 Ratings & 36,667 Reviews"
12,"SAMSUNG Galaxy M42 5G (Prism Dot Gray, 128 GB)","₹21,109",4.3843 Ratings & 78 Reviews
13,SAMSUNG Guru Music 2,"₹1,949","4.31,76,228 Ratings & 16,970 Reviews"
14,"SAMSUNG Galaxy F02s (Diamond Blue, 64 GB)","₹10,499","4.22,199 Ratings & 145 Reviews"
15,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)","₹11,999","4.272,309 Ratings & 5,895 Reviews"
16,"SAMSUNG GALAXY M31S (Mirage Black, 128 GB)","₹21,189",4.3368 Ratings & 30 Reviews
17,"SAMSUNG Galaxy M31 (Space Black, 64 GB)","₹15,925","4.38,741 Ratings & 643 Reviews"
18,"SAMSUNG Galaxy F62 (Laser Blue, 128 GB)","₹25,999","4.323,101 Ratings & 2,729 Reviews"
19,"SAMSUNG M01 core (Blue, 16 GB)","₹5,599","3.97,240 Ratings & 588 Reviews"
20,"SAMSUNG M01 core (Blue, 32 GB)","₹6,590","3.98,117 Ratings & 702 Reviews"
21,"SAMSUNG Galaxy M11 (Black, 64 GB)","₹10,967","4.38,026 Ratings & 638 Reviews"
22,"SAMSUNG Galaxy A21s (Black, 64 GB)","₹14,899","4.27,308 Ratings & 659 Reviews"
23,SAMSUNG Guru FM Plus,"₹1,640","4.224,398 Ratings & 2,161 Reviews"
